staff_id,amount,payment_date
1,2.99,"2005-05-25 11:30:37"
1,0.99,"2005-05-28 10:35:23"
1,5.99,"2005-06-15 00:54:12"
1,4.99,"2005-06-16 15:18:57"
1,4.99,"2005-06-18 08:41:48"
1,3.99,"2005-06-21 06:24:45"
1,5.99,"2005-07-08 07:33:56"
1,4.99,"2005-07-09 13:24:07"
1,4.99,"2005-07-09 16:38:01"
1,7.99,"2005-07-11 10:13:46"
1,4.99,"2005-07-28 09:04:45"
1,0.99,"2005-07-28 17:33:39"
1,0.99,"2005-08-02 18:01:38"
1,0.99,"2005-08-18 03:57:29"
1,0.99,"2005-08-21 23:33:57"
1,1.99,"2005-08-22 01:27:57"
1,5.99,"2005-08-22 20:03:46"
1,4.99,"2005-05-27 00:09:24"
1,2.99,"2005-06-17 20:54:58"
1,2.99,"2005-07-10 06:31:24"
1,6.99,"2005-07-10 12:38:56"
1,5.99,"2005-07-27 15:23:02"
1,2.99,"2005-07-29 12:56:59"
1,4.99,"2005-07-30 06:06:10"
1,2.99,"2005-07-31 21:58:56"
1,0.99,"2005-08-01 09:45:26"
1,0.99,"2005-08-02 02:10:56"
1,5.99,"2005-08-02 07:41:41"
1,6.99,"2005-08-02 10:43:48"
1,2.99,"2005-08-17 03:52:18"
1,2.99,"2005-08-19 06:26:04"
1,4.99,"2005-08-21 13:24:32"
1,1.99,"2005-05-27 17:17:09"
1,2.99,"2005-05-29 22:43:55"
1,8.99,"2005-06-16 01:34:05"
1,6.99,"2005-06-16 15:19:10"
1,2.99,"2005-06-19 08:34:53"
1,4.99,"2005-07-07 10:23:25"
1,4.99,"2005-07-08 12:47:11"
1,5.99,"2005-07-27 04:54:42"
1,4.99,"2005-07-28 11:46:45"
1,2.99,"2005-07-29 11:07:04"
1,1.99,"2005-07-30 13:31:20"
1,2.99,"2005-07-31 03:27:58"
1,8.99,"2005-08-19 22:18:07"
1,2.99,"2005-08-23 07:10:14"
1,4.99,"2005-06-15 09:31:28"
1,0.99,"2005-06-16 08:08:40"
1,5.99,"2005-06-19 09:39:01"
1,2.99,"2005-07-28 02:10:10"
1,3.99,"2005-07-29 18:44:57"
1,5.99,"2005-07-30 08:46:09"
1,5.99,"2005-07-30 18:58:00"
1,2.99,"2005-08-02 08:20:31"
1,2.99,"2005-08-18 00:14:03"
1,2.99,"2005-08-20 09:32:04"
1,6.99,"2005-08-20 12:55:40"
1,2.99,"2005-08-22 13:58:23"
1,0.99,"2005-05-29 07:25:16"
1,6.99,"2005-05-31 11:15:43"
1,1.99,"2005-05-31 19:46:38"
1,3.99,"2005-06-15 22:03:14"
1,4.99,"2005-07-09 01:57:57"
1,8.99,"2005-07-11 03:17:04"
1,3.99,"2005-07-12 11:27:35"
1,2.99,"2005-07-29 01:11:23"
1,1.99,"2005-07-30 04:14:28"
1,4.99,"2005-07-30 23:52:30"
1,3.99,"2005-07-31 14:00:53"
1,0.99,"2005-08-01 15:27:10"
1,4.99,"2005-08-02 10:50:06"
1,9.99,"2005-08-18 00:10:04"
1,2.99,"2005-08-19 00:24:08"
1,1.99,"2005-08-19 09:45:41"
1,6.99,"2005-08-21 11:31:11"
1,2.99,"2005-05-28 11:09:14"
1,3.99,"2005-06-16 03:41:38"
1,0.99,"2005-06-17 09:19:45"
1,0.99,"2005-06-18 12:03:23"
1,0.99,"2005-07-10 03:03:35"
1,7.99,"2005-07-11 15:01:54"
1,0.99,"2005-07-28 18:47:23"
1,2.99,"2005-08-01 03:13:39"
1,2.99,"2005-08-02 05:36:38"
